Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 8.574730e-02, 9.507946e-01, 4.395580e-01, -6.023063e-01, -2.008746e-11, 4.720698e-10, 5.840018e+01, 7.338626e-02
2.038000e+08, 8.683653e-02, 9.508868e-01, 4.400377e-01, -6.135775e-01, -7.224169e-12, 4.723969e-10, 5.851355e+01, 7.440461e-02
2.076000e+08, 8.792234e-02, 9.509773e-01, 4.402101e-01, -6.248565e-01, 5.024087e-12, 4.727096e-10, 5.862809e+01, 7.537332e-02
2.114000e+08, 8.900435e-02, 9.510660e-01, 4.400902e-01, -6.361430e-01, 1.669250e-11, 4.730085e-10, 5.874377e+01, 7.629264e-02
2.152000e+08, 9.008222e-02, 9.511528e-01, 4.396916e-01, -6.474366e-01, 2.781390e-11, 4.732943e-10, 5.886053e+01, 7.716277e-02
2.190000e+08, 9.115559e-02, 9.512377e-01, 4.390275e-01, -6.587370e-01, 3.841895e-11, 4.735673e-10, 5.897833e+01, 7.798392e-02
2.228000e+08, 9.222415e-02, 9.513204e-01, 4.381102e-01, -6.700439e-01, 4.853630e-11, 4.738282e-10, 5.909712e+01, 7.875630e-02
2.266000e+08, 9.328759e-02, 9.514011e-01, 4.369514e-01, -6.813571e-01, 5.819273e-11, 4.740773e-10, 5.921685e+01, 7.948010e-02
2.304000e+08, 9.434563e-02, 9.514795e-01, 4.355620e-01, -6.926762e-01, 6.741333e-11, 4.743150e-10, 5.933748e+01, 8.015551e-02
2.342000e+08, 9.539799e-02, 9.515555e-01, 4.339524e-01, -7.040010e-01, 7.622158e-11, 4.745417e-10, 5.945896e+01, 8.078271e-02
2.380000e+08, 9.644442e-02, 9.516292e-01, 4.321325e-01, -7.153312e-01, 8.463946e-11, 4.747576e-10, 5.958123e+01, 8.136189e-02
2.418000e+08, 9.748466e-02, 9.517005e-01, 4.301117e-01, -7.266666e-01, 9.268763e-11, 4.749632e-10, 5.970426e+01, 8.189324e-02
2.456000e+08, 9.851849e-02, 9.517692e-01, 4.278987e-01, -7.380069e-01, 1.003854e-10, 4.751587e-10, 5.982799e+01, 8.237694e-02
2.494000e+08, 9.954567e-02, 9.518354e-01, 4.255018e-01, -7.493518e-01, 1.077511e-10, 4.753444e-10, 5.995237e+01, 8.281319e-02
2.532000e+08, 1.005660e-01, 9.518989e-01, 4.229292e-01, -7.607012e-01, 1.148017e-10, 4.755205e-10, 6.007735e+01, 8.320216e-02
2.570000e+08, 1.015793e-01, 9.519598e-01, 4.201881e-01, -7.720547e-01, 1.215532e-10, 4.756872e-10, 6.020289e+01, 8.354406e-02
