Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 4.291968e-02, 9.541729e-01, 2.245198e+00, -6.042858e-01, 7.525071e-10, 4.862333e-10, 3.791422e+01, 6.707044e-02
2.038000e+08, 4.260032e-02, 9.542566e-01, 2.227231e+00, -6.158951e-01, 7.623699e-10, 4.862333e-10, 3.797505e+01, 6.751360e-02
2.076000e+08, 4.227860e-02, 9.543404e-01, 2.209029e+00, -6.275045e-01, 7.723976e-10, 4.862369e-10, 3.803663e+01, 6.792906e-02
2.114000e+08, 4.195471e-02, 9.544244e-01, 2.190587e+00, -6.391139e-01, 7.826010e-10, 4.862438e-10, 3.809895e+01, 6.831624e-02
2.152000e+08, 4.162885e-02, 9.545084e-01, 2.171901e+00, -6.507235e-01, 7.929905e-10, 4.862538e-10, 3.816197e+01, 6.867458e-02
2.190000e+08, 4.130122e-02, 9.545925e-01, 2.152968e+00, -6.623334e-01, 8.035757e-10, 4.862664e-10, 3.822568e+01, 6.900356e-02
2.228000e+08, 4.097205e-02, 9.546764e-01, 2.133782e+00, -6.739435e-01, 8.143657e-10, 4.862816e-10, 3.829006e+01, 6.930267e-02
2.266000e+08, 4.064156e-02, 9.547603e-01, 2.114338e+00, -6.855540e-01, 8.253689e-10, 4.862990e-10, 3.835508e+01, 6.957144e-02
2.304000e+08, 4.030999e-02, 9.548440e-01, 2.094631e+00, -6.971650e-01, 8.365932e-10, 4.863184e-10, 3.842071e+01, 6.980942e-02
2.342000e+08, 3.997756e-02, 9.549275e-01, 2.074657e+00, -7.087764e-01, 8.480456e-10, 4.863396e-10, 3.848694e+01, 7.001617e-02
2.380000e+08, 3.964453e-02, 9.550106e-01, 2.054409e+00, -7.203883e-01, 8.597327e-10, 4.863623e-10, 3.855373e+01, 7.019128e-02
2.418000e+08, 3.931116e-02, 9.550935e-01, 2.033882e+00, -7.320007e-01, 8.716602e-10, 4.863865e-10, 3.862106e+01, 7.033436e-02
2.456000e+08, 3.897770e-02, 9.551759e-01, 2.013070e+00, -7.436137e-01, 8.838329e-10, 4.864119e-10, 3.868892e+01, 7.044505e-02
2.494000e+08, 3.864443e-02, 9.552579e-01, 1.991967e+00, -7.552273e-01, 8.962548e-10, 4.864384e-10, 3.875726e+01, 7.052300e-02
2.532000e+08, 3.831163e-02, 9.553393e-01, 1.970568e+00, -7.668416e-01, 9.089292e-10, 4.864657e-10, 3.882607e+01, 7.056787e-02
2.570000e+08, 3.797958e-02, 9.554202e-01, 1.948866e+00, -7.784565e-01, 9.218579e-10, 4.864938e-10, 3.889532e+01, 7.057938e-02
2.608000e+08, 3.764859e-02, 9.555005e-01, 1.926856e+00, -7.900721e-01, 9.350420e-10, 4.865225e-10, 3.896498e+01, 7.055721e-02
2.646000e+08, 3.731895e-02, 9.555801e-01, 1.904531e+00, -8.016883e-01, 9.484811e-10, 4.865517e-10, 3.903502e+01, 7.050112e-02
2.684000e+08, 3.699099e-02, 9.556589e-01, 1.881885e+00, -8.133053e-01, 9.621737e-10, 4.865812e-10, 3.910542e+01, 7.041083e-02
2.722000e+08, 3.666503e-02, 9.557370e-01, 1.858912e+00, -8.249229e-01, 9.761166e-10, 4.866109e-10, 3.917614e+01, 7.028614e-02
2.760000e+08, 3.634139e-02, 9.558142e-01, 1.835606e+00, -8.365413e-01, 9.903051e-10, 4.866407e-10, 3.924717e+01, 7.012681e-02
2.798000e+08, 3.602042e-02, 9.558906e-01, 1.811961e+00, -8.481604e-01, 1.004733e-09, 4.866705e-10, 3.931846e+01, 6.993266e-02
2.836000e+08, 3.570246e-02, 9.559660e-01, 1.787972e+00, -8.597802e-01, 1.019391e-09, 4.867002e-10, 3.939000e+01, 6.970350e-02
2.874000e+08, 3.538788e-02, 9.560404e-01, 1.763633e+00, -8.714007e-01, 1.034271e-09, 4.867297e-10, 3.946175e+01, 6.943918e-02
2.912000e+08, 3.507705e-02, 9.561138e-01, 1.738939e+00, -8.830219e-01, 1.049358e-09, 4.867589e-10, 3.953368e+01, 6.913956e-02
2.950000e+08, 3.477033e-02, 9.561862e-01, 1.713884e+00, -8.946438e-01, 1.064639e-09, 4.867877e-10, 3.960576e+01, 6.880451e-02
2.988000e+08, 3.446811e-02, 9.562574e-01, 1.688465e+00, -9.062664e-01, 1.080095e-09, 4.868161e-10, 3.967796e+01, 6.843393e-02
3.026000e+08, 3.417078e-02, 9.563274e-01, 1.662676e+00, -9.178897e-01, 1.095708e-09, 4.868438e-10, 3.975026e+01, 6.802772e-02
3.064000e+08, 3.387875e-02, 9.563963e-01, 1.636515e+00, -9.295136e-01, 1.111454e-09, 4.868710e-10, 3.982261e+01, 6.758582e-02
3.102000e+08, 3.359241e-02, 9.564638e-01, 1.609978e+00, -9.411382e-01, 1.127308e-09, 4.868974e-10, 3.989499e+01, 6.710817e-02
3.140000e+08, 3.331218e-02, 9.565301e-01, 1.583062e+00, -9.527634e-01, 1.143241e-09, 4.869230e-10, 3.996736e+01, 6.659473e-02
3.178000e+08, 3.303848e-02, 9.565951e-01, 1.555766e+00, -9.643892e-01, 1.159221e-09, 4.869478e-10, 4.003970e+01, 6.604550e-02
3.216000e+08, 3.277174e-02, 9.566587e-01, 1.528088e+00, -9.760156e-01, 1.175214e-09, 4.869717e-10, 4.011197e+01, 6.546045e-02
3.254000e+08, 3.251238e-02, 9.567209e-01, 1.500029e+00, -9.876426e-01, 1.191182e-09, 4.869946e-10, 4.018414e+01, 6.483961e-02
3.292000e+08, 3.226083e-02, 9.567816e-01, 1.471588e+00, -9.992702e-01, 1.207082e-09, 4.870164e-10, 4.025618e+01, 6.418302e-02
3.330000e+08, 3.201754e-02, 9.568409e-01, 1.442768e+00, -1.010898e+00, 1.222872e-09, 4.870372e-10, 4.032805e+01, 6.349071e-02
3.368000e+08, 3.178294e-02, 9.568987e-01, 1.413570e+00, -1.022527e+00, 1.238502e-09, 4.870569e-10, 4.039972e+01, 6.276276e-02
3.406000e+08, 3.155747e-02, 9.569549e-01, 1.384000e+00, -1.034156e+00, 1.253923e-09, 4.870754e-10, 4.047116e+01, 6.199925e-02
3.444000e+08, 3.134156e-02, 9.570096e-01, 1.354061e+00, -1.045785e+00, 1.269082e-09, 4.870926e-10, 4.054233e+01, 6.120029e-02
3.482000e+08, 3.113565e-02, 9.570626e-01, 1.323760e+00, -1.057415e+00, 1.283923e-09, 4.871086e-10, 4.061320e+01, 6.036598e-02
3.520000e+08, 3.094016e-02, 9.571140e-01, 1.293105e+00, -1.069045e+00, 1.298388e-09, 4.871233e-10, 4.068374e+01, 5.949647e-02
3.558000e+08, 3.075554e-02, 9.571638e-01, 1.262105e+00, -1.080676e+00, 1.312417e-09, 4.871366e-10, 4.075391e+01, 5.859191e-02
3.596000e+08, 3.058218e-02, 9.572119e-01, 1.230769e+00, -1.092307e+00, 1.325950e-09, 4.871485e-10, 4.082368e+01, 5.765246e-02
3.634000e+08, 3.042051e-02, 9.572583e-01, 1.199111e+00, -1.103938e+00, 1.338926e-09, 4.871591e-10, 4.089301e+01, 5.667831e-02
3.672000e+08, 3.027091e-02, 9.573029e-01, 1.167142e+00, -1.115570e+00, 1.351282e-09, 4.871682e-10, 4.096188e+01, 5.566967e-02
3.710000e+08, 3.013377e-02, 9.573458e-01, 1.134879e+00, -1.127201e+00, 1.362957e-09, 4.871758e-10, 4.103024e+01, 5.462675e-02
3.748000e+08, 3.000945e-02, 9.573869e-01, 1.102337e+00, -1.138833e+00, 1.373892e-09, 4.871819e-10, 4.109806e+01, 5.354979e-02
3.786000e+08, 2.989832e-02, 9.574263e-01, 1.069534e+00, -1.150465e+00, 1.384028e-09, 4.871865e-10, 4.116531e+01, 5.243905e-02
3.824000e+08, 2.980070e-02, 9.574638e-01, 1.036489e+00, -1.162097e+00, 1.393310e-09, 4.871896e-10, 4.123196e+01, 5.129479e-02
3.862000e+08, 2.971690e-02, 9.574996e-01, 1.003222e+00, -1.173729e+00, 1.401685e-09, 4.871911e-10, 4.129796e+01, 5.011731e-02
