Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 3.915706e-02, 9.537454e-01, 1.976163e+00, -7.398710e-01, 1.152047e-09, 5.863240e-10, 3.878499e+01, 7.195346e-02
2.038000e+08, 3.890111e-02, 9.539401e-01, 1.948657e+00, -7.538701e-01, 1.159772e-09, 5.869373e-10, 3.886955e+01, 7.229713e-02
2.076000e+08, 3.864534e-02, 9.541382e-01, 1.920966e+00, -7.678839e-01, 1.167740e-09, 5.875568e-10, 3.895463e+01, 7.258112e-02
2.114000e+08, 3.839002e-02, 9.543387e-01, 1.893085e+00, -7.819124e-01, 1.175938e-09, 5.881801e-10, 3.904018e+01, 7.280545e-02
2.152000e+08, 3.813546e-02, 9.545408e-01, 1.865008e+00, -7.959559e-01, 1.184352e-09, 5.888041e-10, 3.912613e+01, 7.297016e-02
2.190000e+08, 3.788196e-02, 9.547435e-01, 1.836730e+00, -8.100142e-01, 1.192969e-09, 5.894263e-10, 3.921243e+01, 7.307533e-02
2.228000e+08, 3.762983e-02, 9.549459e-01, 1.808247e+00, -8.240874e-01, 1.201773e-09, 5.900438e-10, 3.929902e+01, 7.312106e-02
2.266000e+08, 3.737938e-02, 9.551471e-01, 1.779553e+00, -8.381754e-01, 1.210750e-09, 5.906537e-10, 3.938585e+01, 7.310751e-02
2.304000e+08, 3.713095e-02, 9.553462e-01, 1.750645e+00, -8.522779e-01, 1.219883e-09, 5.912534e-10, 3.947284e+01, 7.303486e-02
2.342000e+08, 3.688487e-02, 9.555423e-01, 1.721519e+00, -8.663947e-01, 1.229154e-09, 5.918402e-10, 3.955995e+01, 7.290333e-02
2.380000e+08, 3.664148e-02, 9.557345e-01, 1.692172e+00, -8.805256e-01, 1.238545e-09, 5.924114e-10, 3.964712e+01, 7.271319e-02
2.418000e+08, 3.640112e-02, 9.559220e-01, 1.662600e+00, -8.946700e-01, 1.248034e-09, 5.929644e-10, 3.973427e+01, 7.246474e-02
2.456000e+08, 3.616414e-02, 9.561039e-01, 1.632802e+00, -9.088277e-01, 1.257602e-09, 5.934968e-10, 3.982136e+01, 7.215832e-02
2.494000e+08, 3.593090e-02, 9.562795e-01, 1.602775e+00, -9.229981e-01, 1.267224e-09, 5.940063e-10, 3.990832e+01, 7.179430e-02
2.532000e+08, 3.570176e-02, 9.564479e-01, 1.572519e+00, -9.371807e-01, 1.276878e-09, 5.944905e-10, 3.999509e+01, 7.137311e-02
2.570000e+08, 3.547709e-02, 9.566084e-01, 1.542032e+00, -9.513748e-01, 1.286536e-09, 5.949475e-10, 4.008161e+01, 7.089520e-02
2.608000e+08, 3.525726e-02, 9.567604e-01, 1.511314e+00, -9.655798e-01, 1.296173e-09, 5.953753e-10, 4.016782e+01, 7.036108e-02
2.646000e+08, 3.504264e-02, 9.569033e-01, 1.480367e+00, -9.797951e-01, 1.305759e-09, 5.957720e-10, 4.025366e+01, 6.977129e-02
2.684000e+08, 3.483359e-02, 9.570363e-01, 1.449190e+00, -9.940198e-01, 1.315266e-09, 5.961362e-10, 4.033907e+01, 6.912639e-02
2.722000e+08, 3.463050e-02, 9.571591e-01, 1.417787e+00, -1.008253e+00, 1.324661e-09, 5.964663e-10, 4.042399e+01, 6.842701e-02
2.760000e+08, 3.443374e-02, 9.572711e-01, 1.386159e+00, -1.022494e+00, 1.333912e-09, 5.967612e-10, 4.050837e+01, 6.767381e-02
2.798000e+08, 3.424369e-02, 9.573719e-01, 1.354311e+00, -1.036743e+00, 1.342986e-09, 5.970197e-10, 4.059213e+01, 6.686746e-02
2.836000e+08, 3.406071e-02, 9.574611e-01, 1.322245e+00, -1.050997e+00, 1.351847e-09, 5.972411e-10, 4.067524e+01, 6.600870e-02
2.874000e+08, 3.388518e-02, 9.575385e-01, 1.289969e+00, -1.065257e+00, 1.360461e-09, 5.974247e-10, 4.075762e+01, 6.509828e-02
2.912000e+08, 3.371745e-02, 9.576038e-01, 1.257486e+00, -1.079521e+00, 1.368790e-09, 5.975701e-10, 4.083922e+01, 6.413700e-02
2.950000e+08, 3.355790e-02, 9.576568e-01, 1.224805e+00, -1.093789e+00, 1.376799e-09, 5.976770e-10, 4.091999e+01, 6.312569e-02
2.988000e+08, 3.340686e-02, 9.576974e-01, 1.191932e+00, -1.108059e+00, 1.384449e-09, 5.977454e-10, 4.099987e+01, 6.206519e-02
3.026000e+08, 3.326470e-02, 9.577257e-01, 1.158877e+00, -1.122331e+00, 1.391705e-09, 5.977755e-10, 4.107882e+01, 6.095640e-02
