Frequency [MHz],|S0-2| [-],|S1-2| [-],|S2-2| [-],|S3-2| [-],Arg(S0-2) [rad],Arg(S1-2) [rad],Arg(S2-2) [rad],Arg(S3-2) [rad],Delay 2>0 [s],Delay 2>1 [s],Delay 2>2 [s],Delay 2>3 [s],|Z2| [Ohm],Arg(Z2) [rad]
2.000000e+02, 3.296884e-02, 4.277818e-03, 7.384070e-02, 8.601127e-01, 9.369742e-01, -1.550765e+00, 2.868384e-01, -5.799578e-01, 5.726306e-10, 6.644020e-10, -1.939948e-11, 4.653202e-10, 5.761862e+01, 4.198657e-02
2.038000e+02, 3.343691e-02, 4.352948e-03, 7.428499e-02, 8.600281e-01, 9.233020e-01, -1.566628e+00, 2.873016e-01, -5.910679e-01, 5.706836e-10, 6.610012e-10, -1.783117e-11, 4.650477e-10, 5.766679e+01, 4.230794e-02
2.076000e+02, 3.389830e-02, 4.427739e-03, 7.473913e-02, 8.599460e-01, 9.096763e-01, -1.582410e+00, 2.877273e-01, -6.021714e-01, 5.685416e-10, 6.577224e-10, -1.601728e-11, 4.647093e-10, 5.771617e+01, 4.263043e-02
2.114000e+02, 3.435315e-02, 4.502200e-03, 7.520296e-02, 8.598642e-01, 8.961018e-01, -1.598114e+00, 2.881098e-01, -6.132668e-01, 5.666237e-10, 6.545604e-10, -1.396530e-11, 4.643990e-10, 5.776678e+01, 4.295303e-02
2.152000e+02, 3.480146e-02, 4.576320e-03, 7.567635e-02, 8.597834e-01, 8.825730e-01, -1.613742e+00, 2.884432e-01, -6.243549e-01, 5.643265e-10, 6.515166e-10, -1.171981e-11, 4.641444e-10, 5.781860e+01, 4.327475e-02
2.190000e+02, 3.524318e-02, 4.650095e-03, 7.615927e-02, 8.597034e-01, 8.690991e-01, -1.629298e+00, 2.887230e-01, -6.354368e-01, 5.622690e-10, 6.485585e-10, -9.266077e-12, 4.638869e-10, 5.787165e+01, 4.359478e-02
2.228000e+02, 3.567845e-02, 4.723522e-03, 7.665147e-02, 8.596255e-01, 8.556743e-01, -1.644783e+00, 2.889442e-01, -6.465127e-01, 5.600962e-10, 6.457042e-10, -6.647830e-12, 4.636058e-10, 5.792594e+01, 4.391212e-02
2.266000e+02, 3.610724e-02, 4.796587e-03, 7.715284e-02, 8.595484e-01, 8.423014e-01, -1.660200e+00, 2.891030e-01, -6.575818e-01, 5.578922e-10, 6.429501e-10, -3.804111e-12, 4.633200e-10, 5.798145e+01, 4.422597e-02
2.304000e+02, 3.652946e-02, 4.869292e-03, 7.766334e-02, 8.594735e-01, 8.289811e-01, -1.675551e+00, 2.891938e-01, -6.686440e-01, 5.556699e-10, 6.402605e-10, -8.912848e-13, 4.630802e-10, 5.803822e+01, 4.453533e-02
2.342000e+02, 3.694513e-02, 4.941632e-03, 7.818268e-02, 8.593990e-01, 8.157138e-01, -1.690838e+00, 2.892151e-01, -6.797006e-01, 5.534283e-10, 6.376530e-10, 2.234367e-12, 4.628341e-10, 5.809621e+01, 4.483959e-02
2.380000e+02, 3.735428e-02, 5.013607e-03, 7.871082e-02, 8.593265e-01, 8.025001e-01, -1.706063e+00, 2.891617e-01, -6.907513e-01, 5.512462e-10, 6.351344e-10, 5.484353e-12, 4.626417e-10, 5.815544e+01, 4.513776e-02
2.418000e+02, 3.775697e-02, 5.085199e-03, 7.924754e-02, 8.592557e-01, 7.893385e-01, -1.721227e+00, 2.890308e-01, -7.017973e-01, 5.490411e-10, 6.326729e-10, 8.853297e-12, 4.623973e-10, 5.821591e+01, 4.542902e-02
2.456000e+02, 3.815306e-02, 5.156418e-03, 7.979265e-02, 8.591859e-01, 7.762295e-01, -1.736333e+00, 2.888194e-01, -7.128376e-01, 5.466617e-10, 6.302840e-10, 1.235079e-11, 4.621797e-10, 5.827760e+01, 4.571258e-02
2.494000e+02, 3.854266e-02, 5.227242e-03, 8.034602e-02, 8.591191e-01, 7.631774e-01, -1.751382e+00, 2.885245e-01, -7.238726e-01, 5.444906e-10, 6.279474e-10, 1.595656e-11, 4.620066e-10, 5.834053e+01, 4.598764e-02
2.532000e+02, 3.892583e-02, 5.297688e-03, 8.090747e-02, 8.590523e-01, 7.501771e-01, -1.766375e+00, 2.881435e-01, -7.349036e-01, 5.423016e-10, 6.256674e-10, 1.965104e-11, 4.617574e-10, 5.840469e+01, 4.625338e-02
2.570000e+02, 3.930239e-02, 5.367733e-03, 8.147668e-02, 8.589884e-01, 7.372290e-01, -1.781313e+00, 2.876743e-01, -7.459285e-01, 5.400075e-10, 6.234138e-10, 2.342437e-11, 4.616268e-10, 5.847005e+01, 4.650901e-02
2.608000e+02, 3.967248e-02, 5.437371e-03, 8.205368e-02, 8.589258e-01, 7.243358e-01, -1.796198e+00, 2.871151e-01, -7.569504e-01, 5.378514e-10, 6.213283e-10, 2.726354e-11, 4.614136e-10, 5.853663e+01, 4.675392e-02
2.646000e+02, 4.003593e-02, 5.506610e-03, 8.263809e-02, 8.588657e-01, 7.114940e-01, -1.811033e+00, 2.864641e-01, -7.679671e-01, 5.355743e-10, 6.191304e-10, 3.125598e-11, 4.612519e-10, 5.860440e+01, 4.698730e-02
2.684000e+02, 4.039300e-02, 5.575438e-03, 8.322977e-02, 8.588067e-01, 6.987065e-01, -1.825815e+00, 2.857178e-01, -7.789800e-01, 5.334326e-10, 6.170687e-10, 3.523760e-11, 4.610753e-10, 5.867337e+01, 4.720816e-02
2.722000e+02, 4.074348e-02, 5.643838e-03, 8.382860e-02, 8.587499e-01, 6.859702e-01, -1.840548e+00, 2.848765e-01, -7.899887e-01, 5.312561e-10, 6.150642e-10, 3.927436e-11, 4.609170e-10, 5.874353e+01, 4.741609e-02
2.760000e+02, 4.108742e-02, 5.711833e-03, 8.443419e-02, 8.586947e-01, 6.732859e-01, -1.855234e+00, 2.839388e-01, -8.009936e-01, 5.290423e-10, 6.130070e-10, 4.335739e-11, 4.607767e-10, 5.881485e+01, 4.761027e-02
2.798000e+02, 4.142487e-02, 5.779388e-03, 8.504649e-02, 8.586415e-01, 6.606544e-01, -1.869870e+00, 2.829036e-01, -8.119952e-01, 5.269492e-10, 6.110792e-10, 4.756394e-11, 4.606558e-10, 5.888733e+01, 4.779011e-02
2.836000e+02, 4.175574e-02, 5.846525e-03, 8.566528e-02, 8.585896e-01, 6.480730e-01, -1.884460e+00, 2.817679e-01, -8.229938e-01, 5.247363e-10, 6.090916e-10, 5.170881e-11, 4.604475e-10, 5.896096e+01, 4.795459e-02
2.874000e+02, 4.208009e-02, 5.913216e-03, 8.629016e-02, 8.585401e-01, 6.355443e-01, -1.899003e+00, 2.805333e-01, -8.339875e-01, 5.227579e-10, 6.072119e-10, 5.589242e-11, 4.603640e-10, 5.903571e+01, 4.810332e-02
2.912000e+02, 4.239799e-02, 5.979459e-03, 8.692109e-02, 8.584915e-01, 6.230629e-01, -1.913501e+00, 2.791988e-01, -8.449792e-01, 5.206176e-10, 6.053494e-10, 6.017787e-11, 4.602242e-10, 5.911157e+01, 4.823567e-02
